

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
491.586  001.334  000.425: require('gitblame')
491.767  000.176  000.176: require('gitblame.config')
492.052  001.977  000.467: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/git-blame.nvim/plugin/gitblame.lua
493.897  000.759  000.759: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/leap.nvim/plugin/init.lua
495.510  000.196  000.196: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/neogit/plugin/neogit.lua
496.635  000.603  000.603: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/nvim-dap/plugin/dap.lua
497.977  000.444  000.444: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/nvim-lspconfig/plugin/lspconfig.lua
500.173  000.249  000.249: require('nvim-treesitter.info')
500.533  000.347  000.347: require('nvim-treesitter.shell_command_selectors')
500.613  001.178  000.581: require('nvim-treesitter.install')
500.819  000.198  000.198: require('nvim-treesitter.statusline')
501.076  000.248  000.248: require('nvim-treesitter.query_predicates')
501.088  001.912  000.288: require('nvim-treesitter')
502.976  004.169  002.257: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/nvim-treesitter/plugin/nvim-treesitter.lua
504.449  000.247  000.247: require('treesitter-context.config')
504.511  000.577  000.331: require('treesitter-context')
504.735  001.055  000.477: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/nvim-treesitter-context/plugin/treesitter-context.lua
505.502  000.260  000.260: require('nvim-treesitter-textobjects')
507.772  000.294  000.294: require('nvim-treesitter.textobjects.shared')
507.798  000.675  000.381: require('nvim-treesitter.textobjects.select')
508.434  000.283  000.283: require('nvim-treesitter.textobjects.attach')
508.474  000.614  000.331: require('nvim-treesitter.textobjects.move')
509.317  000.311  000.311: require('nvim-treesitter.textobjects.swap')
509.922  000.316  000.316: require('nvim-treesitter.textobjects.lsp_interop')
510.096  004.947  002.771: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
510.957  000.146  000.146: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
1342.148  830.626  830.626: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/parinfer-rust/plugin/parinfer.vim
1342.898  000.100  000.100: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/plenary.nvim/plugin/plenary.vim
1344.400  000.368  000.368: require('rainbow-delimiters.config')
1344.660  000.241  000.241: require('rainbow-delimiters.log')
1345.047  000.160  000.160: require('rainbow-delimiters.util')
1345.063  000.392  000.232: require('rainbow-delimiters.lib')
1345.653  000.171  000.171: require('rainbow-delimiters.stack')
1345.668  000.397  000.226: require('rainbow-delimiters.strategy.global')
1345.709  000.636  000.239: require('rainbow-delimiters.default')
1345.959  002.277  000.641: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/rainbow-delimiters.nvim/plugin/rainbow-delimiters.lua
1347.694  001.121  001.121: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/vim-endwise/plugin/endwise.vim
1428.793  000.625  000.625: sourcing /nix/store/fc9yxyxaimwm7sd8vm3aj4z4mn8n4vq5-vim-pack-dir/pack/myNeovimPackages/start/vim-repeat/autoload/repeat.vim
1444.702  096.363  095.738: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/vim-sexp/plugin/sexp.vim
1445.528  000.246  000.246: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/vim-sexp-mappings-for-regular-people/plugin/sexp_mappings_for_regular_people.vim
1478.185  000.104  000.104: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/vimtex/plugin/vimtex.vim
1478.903  000.225  000.225: sourcing /nix/store/5qcajzhbn5xksadbd603b0kpn3f9jbir-packdir-start/pack/myNeovimPackages/start/vista.vim/plugin/vista.vim
1488.032  078.417: loading packages
1488.452  000.419: loading after plugins
1488.504  000.053: inits 3
1493.381  004.877: reading ShaDa
1494.505  001.123: opening buffers
1494.771  000.266: BufEnter autocommands
1494.780  000.009: editing files in windows
1496.189  000.433  000.433: require('editorconfig')
1509.909  014.696: VimEnter autocommands
1509.924  000.015: UIEnter autocommands
1509.929  000.005: before starting main loop
1513.567  003.637: first screen update
1513.577  000.010: --- NVIM STARTED ---


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.049  000.049: --- NVIM STARTING ---
000.592  000.544: event init
000.880  000.288: early init
001.123  000.243: locale set
001.277  000.154: init first window
002.630  001.353: inits 1
002.668  000.038: window checked
002.678  000.010: parsing arguments
004.538  000.281  000.281: require('vim.shared')
004.980  000.155  000.155: require('vim._options')
004.987  000.432  000.277: require('vim._editor')
004.991  000.814  000.102: require('vim._init_packages')
004.998  001.506: init lua interpreter
007.113  002.115: expanding arguments
007.326  000.213: inits 2
008.355  001.029: init highlight
